#...i    step           time                          C_v                     C_i                    C_2i                   rho_N                     C_I                     d_J
     1        0  0.000000000000000E+000     1.000000000000000E+000  1.000000000000000E+000  1.000000000000000E+000  1.000000000000000E+000  1.000000000000000E+000  1.000000000000000E+000
     2       10  1.000000000000000E-002     8.387773221202921E-001  7.208090336024854E-001  1.038550142728321E+000  1.018995501210550E+000  9.008774989761704E-001  9.558224028931216E-001
     3       20  2.000000000000001E-002     7.084528858189489E-001  5.854076358830584E-001  1.021513259856028E+000  1.034156508982661E+000  8.236233270094251E-001  9.262777453774342E-001
     4       30  3.000000000000002E-002     6.038438346694092E-001  5.035408674582791E-001  9.909493516622260E-001  1.046510549202366E+000  7.605243404428219E-001  9.062647199368218E-001
     5       40  4.000000000000003E-002     5.194482515351724E-001  4.470124625055666E-001  9.581825346368857E-001  1.056706453499035E+000  7.073271034369542E-001  8.929742751880002E-001
     6       50  5.000000000000004E-002     4.508377604596638E-001  4.045869919241840E-001  9.266624557437719E-001  1.065184514112629E+000  6.614348203505059E-001  8.846972195723313E-001
     7       60  6.000000000000005E-002     3.946281574652049E-001  3.710041656720764E-001  8.973700886729081E-001  1.072259128346724E+000  6.211474906877401E-001  8.803188919389557E-001
     8       70  7.000000000000005E-002     3.482515773243307E-001  3.434811021758851E-001  8.704412875944153E-001  1.078163528888937E+000  5.852932951269059E-001  8.790737836720479E-001
     9       80  8.000000000000006E-002     3.097480254035282E-001  3.203932171103361E-001  8.457234975578387E-001  1.083075953782032E+000  5.530316347829461E-001  8.804146707530337E-001
    10       90  9.000000000000007E-002     2.776065526327798E-001  3.007122922170950E-001  8.229806993756351E-001  1.087135895889800E+000  5.237400150281794E-001  8.839377228935996E-001
    11      100  1.000000000000001E-001     2.506497088858345E-001  2.837430814507834E-001  8.019703314793009E-001  1.090454680151919E+000  4.969453038255596E-001  8.893371960953781E-001
    12      110  1.100000000000001E-001     2.279502188886949E-001  2.689896329757627E-001  7.824707052309980E-001  1.093122618532140E+000  4.722800032300708E-001  8.963767512780689E-001
    13      120  1.200000000000001E-001     2.087706234305416E-001  2.560826334765329E-001  7.642887329284318E-001  1.095214007101863E+000  4.494533606542437E-001  9.048705967163275E-001
    14      130  1.300000000000001E-001     1.925191334283957E-001  2.447374719545524E-001  7.472599135203344E-001  1.096790711418122E+000  4.282316666079142E-001  9.146706823641410E-001
    15      140  1.400000000000001E-001     1.787169704863292E-001  2.347287151858068E-001  7.312455115686407E-001  1.097904798919107E+000  4.084244474790545E-001  9.256577565663349E-001
    16      150  1.500000000000001E-001     1.669739185930080E-001  2.258738280373632E-001  7.161289818411667E-001  1.098600510374898E+000  3.898745597457977E-001  9.377349637662569E-001
    17      160  1.600000000000001E-001     1.569698111818328E-001  2.180223551582607E-001  7.018124680071505E-001  1.098915762012627E+000  3.724509363259761E-001  9.508231585187977E-001
    18      170  1.700000000000001E-001     1.484403593630799E-001  2.110484697453859E-001  6.882136766897855E-001  1.098883307409106E+000  3.560431786781380E-001  9.648574058335109E-001
    19      180  1.800000000000001E-001     1.411661927332561E-001  2.048456790794638E-001  6.752632026613939E-001  1.098531648171366E+000  3.405574604307471E-001  9.797843183832561E-001
    20      190  1.900000000000001E-001     1.349643045628823E-001  1.993229593850669E-001  6.629022886510526E-001  1.097885756079934E+000  3.259133803571000E-001  9.955599948112078E-001
    21      200  2.000000000000001E-001     1.296813158372138E-001  1.944018668861821E-001  6.510809699045202E-001  1.096967651650872E+000  3.120415140306712E-001  1.012148396782508E+000
